# VRC Table Tennis - supporters list
# format-version: 1
# columns: displayName<TAB>tier
# tiers (low to high): Supporter < Sponsor < Sponsor2
# grouped by tier, highest first. names ascending within a group.
# one row per display name. matching is case-insensitive and trimmed.
# lines starting with "#" are comments. empty lines are ignored.
# count: 15
# generated: 2026-09-25T14:27:49.523Z
rinrin6006	Sponsor2
Kioumi 92b6	Sponsor
takaniso	Sponsor
ちかちゃん	Sponsor
ひたけん1114	Sponsor
ゆきづき	Sponsor
AlexTheMango	Supporter
Arous 【あろうす】	Supporter
moriya4b	Supporter
roku6x6	Supporter
Zenon0789	Supporter
おしるこうどん	Supporter
ささまーる	Supporter
まひるのたいよう	Supporter
리키1220	Supporter
